Index,Type,CycleIdx,Combined,Bias,Dprime,AUC,Robust,Std
30,Normal,30,0.5353886539115438,0.0050000000000000044,-2.4380410730203246,1.0,0.995,0.8059701353901143
13,Normal,13,0.5319671705912032,0.0,-2.4432975414939673,1.0,1.0,0.8669818166051488
75,Inverted,21,0.44365012547623167,0.22999999999999998,6.234398280346118,0.0,0.23,2.801739871455616
93,Inverted,39,0.36529347826077707,0.015000000000000013,10.432885914569878,0.0,0.015,2.858898756118163
91,Inverted,37,0.32375226556774594,0.015000000000000013,9.194615249486114,0.0,0.015,2.6513385518448276
66,Inverted,12,0.29471757527640613,0.015000000000000013,8.329142074130552,0.0,0.015,2.7308728884464744
90,Inverted,36,0.2717962351292541,0.015000000000000013,7.645897140518237,0.0,0.015,2.090650101435482
69,Inverted,15,0.26270170494032874,0.015000000000000013,7.374805152210582,0.0,0.015,2.201870583318144
96,Inverted,42,0.2583989661706211,0.015000000000000013,7.24654805876898,0.0,0.015,2.099630526836833
92,Inverted,38,0.2044326449448933,0.010000000000000009,5.789863959912502,0.0,0.01,1.717954697334687
65,Inverted,11,0.19499820625898834,0.015000000000000013,5.356682644325655,0.0,0.015,2.3255065712067036
68,Inverted,14,0.18028318204462718,0.010000000000000009,5.070010841807821,0.0,0.01,1.9872541351865558
79,Inverted,25,0.1785670108975216,0.07500000000000001,3.0434105232564086,0.0,0.075,1.3168108088213188
72,Inverted,18,0.17385319744634112,0.030000000000000027,4.270515277077223,0.0,0.03,1.1215879694310893
73,Inverted,19,0.1713762627792223,0.010000000000000009,4.804511205961356,0.0,0.01,1.4915175156436218
59,Inverted,5,0.16646086097942855,0.010000000000000009,4.657991702528428,0.0,0.01,2.2285671162518796
100,Inverted,46,0.14733819151300134,0.0,4.391892979755252,0.0,0.0,1.6762209180619685
55,Inverted,1,0.14300455146341257,0.010000000000000009,3.958800270649977,0.0,0.01,1.5079980663025616
76,Inverted,22,0.13973847851715812,0.030000000000000027,3.2536153610891723,0.0,0.03,0.7064167860833263
78,Inverted,24,0.1364572419246045,0.0050000000000000044,3.9155937121116042,0.0,0.005,2.1560225139809392
99,Inverted,45,0.1356893251515111,0.015000000000000013,3.5887889577109178,0.0,0.015,1.0174487875654514
80,Inverted,26,0.13158325413411864,0.0050000000000000044,3.770308687634032,0.0,0.005,1.5412538326777832
104,Inverted,50,0.12863495007087575,0.010000000000000009,3.5304676650322757,0.0,0.01,1.0306005059266576
61,Inverted,7,0.12411600144073451,0.020000000000000018,3.0918512322701575,0.0,0.02,1.0140564203058073
57,Inverted,3,0.1177308093952423,0.025000000000000022,2.749562609039925,0.0,0.025,0.9267680268055117
83,Inverted,29,0.11626497848937968,0.020000000000000018,2.857826012943979,0.0,0.02,0.8704477265406817
94,Inverted,40,0.1161270830133244,0.020000000000000018,2.8537155907444927,0.0,0.02,0.8617955932562287
70,Inverted,16,0.11537774820191839,0.0050000000000000044,3.287250988838183,0.0,0.005,1.413017361079113
102,Inverted,48,0.11493450811484197,0.025000000000000022,2.666209774065111,0.0,0.025,0.9257082648373277
77,Inverted,23,0.11447755565344223,0.030000000000000027,2.500631571563678,0.0,0.03,1.3392759187863572
107,Inverted,53,0.11413774743779224,0.025000000000000022,2.6424597362226074,0.0,0.025,0.8528908999423147
74,Inverted,20,0.11384635802843161,0.010000000000000009,3.0896456832724173,0.0,0.01,1.470671387501117
89,Inverted,35,0.11345768158696672,0.020000000000000018,2.7741454177691143,0.0,0.02,0.7200955437633706
71,Inverted,17,0.11310755129366833,0.015000000000000013,2.915665899403738,0.0,0.015,1.1934921590983267
82,Inverted,28,0.11060128797909288,0.015000000000000013,2.8409585873099097,0.0,0.015,0.8678901724011228
63,Inverted,9,0.10973209012025846,0.020000000000000018,2.663092072807783,0.0,0.02,0.8350269891459249
87,Inverted,33,0.10955386713018857,0.010000000000000009,2.9616940608989784,0.0,0.01,0.8164352118516599
81,Inverted,27,0.10922294288853533,0.015000000000000013,2.799872538507922,0.0,0.015,0.9579235418357197
64,Inverted,10,0.10800114010399207,0.020000000000000018,2.6114954898262632,0.0,0.02,0.8708466218495939
54,Inverted,0,0.10685868804767958,0.0,3.185270003949028,0.0,0.0,0.9931191416817015
98,Inverted,44,0.10562476887147254,0.015000000000000013,2.69261728416281,0.0,0.015,0.7439869888292966
86,Inverted,32,0.10362127220203762,0.015000000000000013,2.6328965636415607,0.0,0.015,0.6822772562552207
97,Inverted,43,0.102592854497072,0.0050000000000000044,2.906155738973676,0.0,0.005,1.2363068429231965
106,Inverted,52,0.1015060170621438,0.020000000000000018,2.4178872678356815,0.0,0.02,0.8100167773427794
103,Inverted,49,0.10061221876647045,0.0050000000000000044,2.8471164629288506,0.0,0.005,0.4657543734598962
101,Inverted,47,0.09750977267240062,0.0050000000000000044,2.754637988198746,0.0,0.005,0.985141267117563
